code,canonical,duplicate,sector,institution_type,block,date,n_participants,tcle,status,minutes,turns,chars,participant_share,n_dim_candidates,n_hits,notes,tcle_origem
ENT-001-ENT-002,ENT-001-ENT-002,False,Publico,Secretaria municipal de governo,PUB,2026-08-07,2,True,Codificada,49,488,48515,63,23,93,"Sessão conjunta de dois códigos; inclui responsável por captação de recursos. A transcrição automática atribui todos os turnos a um único falante — os dois participantes não estão separados na diarização; a codificação por falante foi feita por leitura, não por rótulo.",confirmado pela coordenação do projeto em 09/2026
ENT-003,ENT-003,False,Publico,Órgão ambiental municipal,PUB,2026-08-07,1,True,Codificada,46,498,34801,43,23,49,Piloto de codificação,confirmado pela coordenação do projeto em 09/2026
ENT-004,ENT-004,False,Publico,Secretaria municipal de infraestrutura,PUB,2026-08-07,1,True,Codificada,45,426,37445,50,17,40,,confirmado pela coordenação do projeto em 09/2026
ENT-005,ENT-005,False,Sociedade Civil,Entidade profissional de arquitetura e urbanismo,SOC,2026-08-07,1,True,Codificada,45,558,39562,66,16,62,,confirmado pela coordenação do projeto em 09/2026
ENT-006,ENT-006,False,Academia,Universidade privada,ACA,2026-08-10,1,True,Codificada,48,718,40609,50,15,25,,confirmado pela coordenação do projeto em 09/2026
ENT-007,ENT-007,False,Sociedade Civil,Conselho profissional de arquitetura e urbanismo,SOC,2026-08-10,1,True,Codificada,56,692,47522,59,16,37,,confirmado pela coordenação do projeto em 09/2026
ENT-008,ENT-008,False,Publico,Órgão ambiental municipal,PUB,2026-08-13,1,True,Codificada,57,487,42185,51,25,73,,confirmado pela coordenação do projeto em 09/2026
ENT-009,ENT-009,False,Privado,Empresa de mercado de carbono,PRI,2026-08-13,1,True,Codificada,55,432,40100,76,13,35,Participante não consta da Lista de Entrevistas nem dos termos assinados,confirmado pela coordenação do projeto em 09/2026
ENT-010-ENT-011,ENT-010-ENT-011,False,Sociedade Civil,Organização técnica ambiental,SOC,2026-08-14,2,True,Codificada,51,730,47565,54,24,91,,confirmado pela coordenação do projeto em 09/2026
ENT-012,ENT-012,False,Publico,Poder Legislativo municipal,PUB,2026-08-14,1,True,Codificada,52,374,39085,69,16,36,"Registro proprio, com md5 distinto de ENT-011; a duplicata anotada em 01/09 nao se confirma. Poder Legislativo municipal. Sem TCLE localizado.",confirmado pela coordenação do projeto em 09/2026
ENT-013,ENT-013,False,Publico,Órgão municipal de proteção e defesa civil,PUB,2026-08-18,1,True,Codificada,49,499,41476,63,12,74,,confirmado pela coordenação do projeto em 09/2026
ENT-014,ENT-014,False,Sociedade Civil,Conselho profissional de arquitetura e urbanismo,SOC,2026-08-19,1,True,Codificada,41,526,31827,55,10,22,,confirmado pela coordenação do projeto em 09/2026
ENT-015,ENT-015,False,Publico,Gabinete do Executivo municipal,PUB,2026-08-27,1,True,Codificada,59,291,46545,68,23,74,,confirmado pela coordenação do projeto em 09/2026
ENT-016,ENT-016,False,Privado,Conselho de desenvolvimento econômico,PRI,2026-08-27,1,True,Codificada,33,263,32043,69,11,34,,confirmado pela coordenação do projeto em 09/2026
ENT-017-ENT-018,ENT-017-ENT-018,False,Privado,Banco público de desenvolvimento regional,PRI,2026-09-02,2,True,Codificada,39,343,31870,59,16,24,,confirmado pela coordenação do projeto em 09/2026
ENT-019,ENT-019,False,Academia,Escritório de cooperação internacional de universidade pública,ACA,2026-09-02,1,True,Codificada,25,209,17606,57,8,23,,confirmado pela coordenação do projeto em 09/2026
ENT-020,ENT-020,False,Academia,Universidade pública,ACA,2026-09-02,1,True,Codificada,35,244,28062,71,9,16,,confirmado pela coordenação do projeto em 09/2026
